species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld
Epinephelus merra,Serranidae,9600000,habitat_reef,reef-associated,36.5,NA,15891.93816,0.431465308,3.82,Actinopteri,LC,0.222006046,0.222006046,8.5,0.014020895,0.419377278,NA,0.04890777,29.92500375,34.3
Epinephelus morio,Serranidae,3007500,habitat_benthic,reef-associated,125,red grouper,44841.13184,0.214918572,3.5,Actinopteri,VU,0.027348309,0.027348309,42.10249306,0.0034,0.218337659,2.09,0.061036077,53.7506019,40
Epinephelus morrhua,Serranidae,9242500,habitat_reef,reef-associated,90,NA,204.5017043,0.270980627,3.986676758,Actinopteri,LC,0.145837,0.145837,23.22898081,0.021204,4.17,NA,0.067772186,34.67757053,NA
Epinephelus multinotatus,Serranidae,615000,habitat_reef,reef-associated,100,NA,3257.873463,0.272952283,3.883946215,Actinopteri,LC,0.025016,0.025016,7.849166287,0.004257833,0.040637322,NA,0.06742398,37.34714184,NA
Epinephelus polylepis,Serranidae,1007500,habitat_benthic,demersal,61,NA,2055.955937,0.281408755,3.89,Actinopteri,LC,0.027348309,0.027348309,8.5,0.0034,0.218337659,NA,0.047240147,52.87685851,NA
Epinephelus striatus,Serranidae,2580000,habitat_reef,reef-associated,122,nassau grouper,2316.178743,0.263107501,4.06,Actinopteri,CR,0.029410133,0.029410133,69.37218463,0.004257833,0.145837,0.018305,0.069628112,39.21400964,42
Epinephelus summana,Serranidae,345000,habitat_reef,reef-associated,52,NA,154.7495583,0.286760108,3.89,Actinopteri,LC,0.003297,0.003297,3.75,6.45E-06,0.029410133,NA,0.007895878,39.78773094,NA
Epinephelus tauvina,Serranidae,13810000,habitat_reef,reef-associated,100,greasy grouper,14708.16501,0.187076498,4.136103002,Actinopteri,DD,0.77,0.77,91382,0.014020895,23.92044613,0.344,1.692605614,35.52875374,NA
Eptatretus cirrhatus,Myxinidae,1312500,habitat_benthic,bathydemersal,97,NA,1765.180643,0.14925158,4.948608206,Myxini,LC,0.04451615,0.04451615,23.22898081,0.0034,0.75925,NA,0.063140017,52.79401611,NA
Ethmalosa fimbriata,Clupeidae,467500,habitat_coastal,pelagic-neritic,46,NA,391365.8495,0.690830323,2.576466614,Actinopteri,LC,0.040637322,0.040637322,69.37218463,0.020686774,0.364,NA,0.080558134,38.78619663,NA
Ethmidium maculatum,Clupeidae,310000,habitat_coastal,pelagic-neritic,31.20000076,NA,32220.37839,1.165208538,2.07,Actinopteri,DD,8.13E-06,8.13E-06,3.790022135,6.45E-06,0.003297,NA,0.002424207,42.46396412,NA
Etrumeus whiteheadi,Dussumieriidae,227500,habitat_coastal,pelagic-neritic,22,NA,402624.5557,0.423849558,3.454345763,Actinopteri,LC,8.13E-06,8.13E-06,0.638683313,6.45E-06,0.025016,NA,0.002101719,33.69506383,NA
Euthynnus affinis,Scombridae,14720000,pelagic,pelagic-neritic,100,NA,2460508.938,0.630833414,4.5,Actinopteri,LC,23.22898081,23.22898081,138546.9177,0.027348309,28773,NA,3.791478621,32.98945594,NA
Euthynnus alletteratus,Scombridae,5647500,hms,pelagic-oceanic,122,NA,115033.1049,0.330255295,4.49,Actinopteri,LC,0.04451615,0.04451615,42.10249306,0.014020895,0.3026,NA,0.090618991,30.59830953,24
Euthynnus lineatus,Scombridae,477500,pelagic,pelagic-oceanic,84,NA,15997.52595,0.516132309,3.855928723,Actinopteri,LC,0.025016,0.025016,69.37218463,0.017712,1.254059326,NA,0.073248952,27.18352132,NA
Eutrigla gurnardus,Triglidae,2227500,habitat_benthic,demersal,60,NA,147714.1468,0.181531455,3.87,Actinopteri,NA,0.04451615,0.04451615,8.5,0.006904422,0.77,NA,0.051979046,55.31665192,NA
Fistularia corneta,Fistulariidae,792500,habitat_reef,pelagic-neritic,106,NA,2562.317579,0.858533703,4.481651192,Actinopteri,LC,0.029410133,0.029410133,220.625,0.007726488,0.75925,NA,0.086061017,35.14450956,NA
Gadiculus argenteus,Gadidae,1740000,habitat_deep,pelagic-oceanic,15.25,NA,159.7449863,0.917086686,3.6,Actinopteri,NA,0.020686774,0.020686774,0.419377278,8.13E-06,0.32,NA,0.00972907,37.48686894,NA
Gadus macrocephalus,Gadidae,2920000,habitat_deep,demersal,119,NA,1100617.358,0.254822292,3.97,Actinopteri,NA,0.040637322,0.040637322,9.919689167,0.017712,0.43700397,NA,0.066027761,47.69530642,NA
Gadus morhua,Gadidae,4322500,migratory,benthopelagic,200,atlantic cod,1024823.823,0.368813682,4.09,Actinopteri,VU,0.524649642,0.524649642,69.37218463,0.030306525,7.78,0.524649642,0.263105037,84.57648848,120.25
Galeoides decadactylus,Polynemidae,197500,habitat_coastal,demersal,50,NA,44470.1575,0.509571815,3.613111148,Actinopteri,NT,0.003297,0.003297,4.438338373,6.45E-06,0.3026,NA,0.009452993,35.51666297,NA
Gasterochisma melampus,Scombridae,63335000,deep,pelagic-oceanic,164,NA,20.80741126,0.596518223,4.341564088,Actinopteri,LC,23.22898081,23.22898081,93840.98602,0.007641758,24.63249455,NA,8.262882849,41.02734204,NA
Gasterosteus aculeatus,Gasterosteidae,6017500,habitat_coastal,benthopelagic,11,NA,579.8245284,0.997632856,3.31,Actinopteri,LC,0.0013065,0.0013065,10.48565514,8.13E-06,0.32,NA,0.010010257,37.26381718,35
Genyonemus lineatus,Sciaenidae,135000,habitat_benthic,benthopelagic,41,NA,822.3303962,0.624615121,3.482363184,Actinopteri,NT,0.003297,0.003297,0.77,6.45E-06,0.060991803,NA,0.005923398,41.59549948,NA
Genypterus blacodes,Ophidiidae,2330000,habitat_benthic,bathydemersal,200,NA,209832.9261,0.130878043,4.182798704,Actinopteri,NA,0.025016,0.025016,39.83,0.0017922,0.75925,NA,0.189987792,56.68640933,NA
Genypterus capensis,Ophidiidae,127500,habitat_benthic,bathydemersal,180,NA,24613.76694,0.18214067,4.425616351,Actinopteri,NA,0.0017922,0.0017922,27.3197105,6.45E-06,0.054107361,NA,0.026190372,49.36957741,NA
Genypterus chilensis,Ophidiidae,125000,habitat_benthic,bathydemersal,150,NA,22836.35898,0.203416315,3.939981057,Actinopteri,NA,0.0017922,0.0017922,7.78,6.45E-06,0.025016,NA,0.017974519,49.28743459,NA
Gerres nigri,Gerreidae,572500,habitat_benthic,benthopelagic,20,NA,1825.975119,1.495810086,3.258223817,Actinopteri,LC,0.003297,0.003297,0.902079429,8.13E-06,0.115398472,NA,0.008747135,51.94826106,NA
Gerres oblongus,Gerreidae,9027500,habitat_reef,reef-associated,30,NA,14.31732558,1.495810086,3.547737166,Actinopteri,LC,0.0013065,0.0013065,4.477796392,8.13E-06,0.218337659,NA,0.009914161,35.72425066,NA
Gerres oyena,Gerreidae,8420000,habitat_coastal,reef-associated,30,NA,563.1579604,1.594337758,2.819284225,Actinopteri,LC,0.0013065,0.0013065,4.477796392,8.13E-06,0.3026,NA,0.010373126,36.669512,NA
Glossanodon semifasciatus,Argentinidae,532500,pelagic,benthopelagic,22.70000076,NA,67613.97225,0.518660964,3.211528116,Actinopteri,NA,0.025016,0.025016,4.438338373,8.13E-06,0.3026,NA,0.010040391,36.50574414,NA
Glyptocephalus cynoglossus,Pleuronectidae,3570000,habitat_benthic,demersal,60,NA,64040.31605,0.149820154,3.17,Actinopteri,NA,0.218337659,0.218337659,8.5,0.017712,0.77,NA,0.054540757,62.06826834,NA
Glyptocephalus zachirus,Pleuronectidae,1320000,habitat_benthic,demersal,60,NA,23361.49095,0.186545885,3.25,Actinopteri,NA,0.025016,0.025016,8.5,0.0034,0.341291664,NA,0.052659071,58.77544029,NA
Gnathanodon speciosus,Carangidae,13205000,habitat_reef,reef-associated,120,NA,5597.438488,0.706049385,3.865267935,Actinopteri,LC,0.3026,0.3026,91382,0.021204,23.22898081,NA,1.938641305,33.8977854,NA
Grammoplites suppositus,Platycephalidae,1385000,habitat_benthic,demersal,31,NA,144.2168111,0.42142105,3.84,Actinopteri,LC,0.003297,0.003297,0.77,8.13E-06,0.311178405,NA,0.006786129,43.21965804,NA
Gymnosarda unicolor,Scombridae,12880000,pelagic,reef-associated,247.9799957,NA,2718.783662,0.596518223,4.481651192,Actinopteri,LC,5.55,5.55,28773,0.022602017,24.63249455,NA,1.018822835,41.03592716,NA
Haemulon plumierii,Haemulidae,2540000,habitat_reef,reef-associated,53,NA,431.5592646,0.578655171,3.82,Actinopteri,LC,0.222006046,0.222006046,77.88114116,0.021891852,0.419377278,NA,0.06364978,26.61130503,22.6
Harpadon nehereus,Synodontidae,7832500,habitat_benthic,benthopelagic,60.97000122,NA,1686496.541,0.452219992,4.089407301,Actinopteri,NA,0.04451615,0.04451615,4.17,0.003297,0.635594387,NA,0.047992176,51.20201578,NA
Helicolenus dactylopterus,Sebastidae,11510000,habitat_benthic,bathydemersal,50,NA,118996.2652,0.149321292,3.54,Actinopteri,LC,0.218337659,0.218337659,39.83,0.017712,5.953570357,NA,0.108201863,57.44783432,NA
Hemiramphus balao,Hemiramphidae,2820000,pelagic,reef-associated,40,NA,65.16240182,0.889101666,3.85,Actinopteri,LC,0.190553387,0.190553387,69.37218463,0.021204,0.419377278,NA,0.058325717,37.8945997,NA
Hemiramphus brasiliensis,Hemiramphidae,2202500,habitat_coastal,reef-associated,55,NA,6751.508337,0.747224435,2.28,Actinopteri,LC,0.027348309,0.027348309,69.37218463,0.020686774,0.311178405,NA,0.081001781,40.22049642,NA
Herklotsichthys quadrimaculatus,Clupeidae,9417500,habitat_coastal,reef-associated,25,NA,44.00455196,1.740456307,3.57,Actinopteri,LC,0.0013065,0.0013065,4.477796392,8.13E-06,0.220164213,NA,0.010863318,33.65402706,NA
Hexagrammos decagrammus,Hexagrammidae,1112500,habitat_reef,demersal,61,NA,481.1467603,0.340852342,3.631789348,Actinopteri,NA,0.029410133,0.029410133,3.790022135,0.020686774,0.25,NA,0.056852871,39.62274173,NA
Hilsa kelee,Clupeidae,6355000,habitat_coastal,pelagic-neritic,35,NA,59083.71456,1.080199315,2.940693048,Actinopteri,NA,0.060991803,0.060991803,69.37218463,0.0013065,0.32,NA,0.038111006,40.4717982,NA
Hippoglossoides elassodon,Pleuronectidae,277500,habitat_benthic,demersal,52,NA,2483813.465,0.179774811,3.67,Actinopteri,NA,0.003297,0.003297,3.75,6.45E-06,0.025016,NA,0.006674813,56.82021065,NA
Hippoglossoides platessoides,Pleuronectidae,4190000,habitat_benthic,demersal,82.59999847,NA,139541.673,0.145000355,4.08,Actinopteri,NA,0.04451615,0.04451615,8.5,0.003804817,0.77,NA,0.056263427,55.71152256,NA
Hippoglossus hippoglossus,Pleuronectidae,5017500,habitat_benthic,demersal,470,NA,73314.44159,0.11850261,4,Actinopteri,EN,0.029410133,0.029410133,119173.5,6.04E-04,7.78,NA,0.465769893,59.32174966,NA
Hoplopagrus guentherii,Lutjanidae,632500,habitat_reef,reef-associated,92,NA,273.0618526,0.502875077,3.8,Actinopteri,LC,0.029410133,0.029410133,7.78,0.017712,0.419377278,NA,0.065742568,29.07151497,21.5
Hoplostethus atlanticus,Trachichthyidae,9397500,sedentary,bathypelagic,75,NA,24191.11097,0.161165492,4.25,Actinopteri,NA,0.048,0.048,39.83,0.0034,0.524649642,NA,0.066357613,30.56520458,NA
Hydrolagus novaezealandiae,Chimaeridae,645000,deep,bathydemersal,96,NA,74948.21149,0.191783416,3.566415446,Holocephali,LC,0.025016,0.025016,7.849166287,0.0034,0.20397299,NA,0.057106285,56.03656827,NA
Hyperoglyphe antarctica,Centrolophidae,2662500,habitat_reef,benthopelagic,140,NA,13510.43523,0.180500329,3.967998478,Actinopteri,NA,0.027348309,0.027348309,220.625,0.004257833,5.695840588,NA,0.169180504,36.61847434,NA
Hyporthodus flavolimbatus,Serranidae,2205000,habitat_benthic,demersal,115,NA,8566.79922,0.175094567,3.846589654,Actinopteri,VU,0.025016,0.025016,8.5,0.0034,0.046225266,NA,0.051008236,52.37878845,NA
Hyporthodus mystacinus,Serranidae,1890000,habitat_deep,bathydemersal,160,NA,30.08361961,0.192928912,4.58,Actinopteri,LC,0.04451615,0.04451615,69.37218463,0.0034,7.78,NA,0.261490837,35.19541513,NA
Hyporthodus nigritus,Serranidae,2572500,habitat_reef,demersal,230,NA,245.8566514,0.138991562,3.986676758,Actinopteri,NT,0.029410133,0.029410133,220.625,0.007726488,2.447570224,NA,0.22024384,44.74152938,NA
Hyporthodus niveatus,Serranidae,2735000,habitat_reef,demersal,122,NA,4588.700079,0.165514413,4.05205074,Actinopteri,VU,0.029410133,0.029410133,77.88114116,0.004257833,0.20397299,NA,0.068160747,39.1337546,NA
Ilisha africana,Pristigasteridae,425000,habitat_coastal,pelagic-neritic,30,NA,77979.82003,1.109770194,3.59,Actinopteri,LC,0.003297,0.003297,5.523838677,8.13E-06,0.220164213,NA,0.008264397,38.82053923,NA
Ilisha elongata,Pristigasteridae,2587500,habitat_coastal,pelagic-neritic,60,NA,596680.1311,0.97400234,3.818572233,Actinopteri,LC,0.218337659,0.218337659,220.625,0.021204,3.75,NA,0.077880991,44.05391664,NA
Isacia conceptionis,Haemulidae,300000,habitat_coastal,benthopelagic,60,NA,12174.16282,0.654886592,2.99672789,Actinopteri,LC,0.003297,0.003297,69.37218463,6.45E-06,0.116363865,NA,0.010072679,33.31690836,NA
Isopisthus parvipinnis,Sciaenidae,742500,habitat_coastal,demersal,41.5,NA,217.5803874,0.624615121,4.04,Actinopteri,LC,0.060991803,0.060991803,5.523838677,0.007641758,0.364,NA,0.057355801,29.45455317,NA
Istiompax indica,Istiophoridae,171002500,hms,pelagic-oceanic,465,NA,40942.50606,0.361545431,4.5,Actinopteri,DD,28773,28773,537466.5429,23.22898081,91382,NA,2554.511772,37.97876546,NA
Istiophorus albicans,Istiophoridae,18742500,hms,pelagic-oceanic,315,NA,3939.569218,0.577528565,4.5,Actinopteri,NA,23.22898081,23.22898081,119173.5,5.55,52.56514162,NA,22.1204257,33.24648838,NA
Istiophorus platypterus,Istiophoridae,194122500,hms,pelagic-oceanic,348,indo-pacific sailfish,229747.1649,0.466166849,4.5,Actinopteri,LC,91382,91382,537466.5429,28773,119173.5,537466.5429,4145.217066,34.72534745,NA
Joturus pichardi,Mugilidae,587500,habitat_coastal,pelagic-neritic,61,NA,2036.175397,0.636414723,2.99672789,Actinopteri,NA,0.040637322,0.040637322,69.37218463,0.020686774,0.419377278,NA,0.073593326,33.18566012,NA
Kajikia albida,Istiophoridae,48362500,hms,pelagic-oceanic,300,NA,12797.19646,0.387272323,4.49,Actinopteri,VU,23.22898081,23.22898081,119173.5,5.55,39.83,NA,20.96789887,36.59813433,NA
Kajikia audax,Istiophoridae,157757500,pelagic,pelagic-oceanic,420,NA,42349.00065,0.347408374,4.481651192,Actinopteri,NT,28773,28773,537466.5429,23.22898081,91382,NA,2416.454813,45.95007352,NA
Kathetostoma giganteum,Uranoscopidae,747500,sedentary,demersal,90,NA,4247.640989,0.286276548,4.210816125,Actinopteri,NA,0.04451615,0.04451615,24.51591858,0.002430819,0.233633077,NA,0.057064932,33.48243406,NA
Katsuwonus pelamis,Scombridae,251292500,pelagic,pelagic-oceanic,110,NA,4403649.09,0.504382583,4.43,Actinopteri,LC,28773,28773,537466.5429,5.55,104356.6614,NA,722.4746053,31.75806231,21.1
Konosirus punctatus,Clupeidae,495000,habitat_coastal,pelagic-neritic,32,NA,134189.8396,0.792958456,3.024745311,Actinopteri,LC,0.020686774,0.020686774,69.37218463,8.13E-06,0.3026,NA,0.011180182,39.15151841,NA
Labrus bergylta,Labridae,872500,habitat_reef,reef-associated,65.90000153,ballan wrasse,832.7850932,0.2079384,3.2,Actinopteri,LC,0.029410133,0.029410133,8.5,0.022748634,0.25,0.096873382,0.059824765,38.77994444,NA
Lachnolaimus maximus,Labridae,1942500,habitat_reef,reef-associated,91,hogfish,1005.587269,0.503220372,4.17,Actinopteri,VU,0.017712,0.017712,69.37218463,0.00123027,0.145837,0.00123027,0.061226102,26.55848538,25.9
Lactarius lactarius,Lactariidae,10862500,habitat_coastal,pelagic-neritic,40,NA,71361.18439,0.894172771,4.17,Actinopteri,NA,0.021204,0.021204,220.625,0.0013065,0.469069439,NA,0.123541923,35.13228497,NA
Lampris guttatus,Lampridae,271130000,pelagic,bathypelagic,200,NA,2613.572655,0.605257327,4.220155265,Actinopteri,LC,24.63249455,24.63249455,537466.5429,5.55,91382,NA,1448.482272,43.09462738,NA
Larimichthys crocea,Sciaenidae,1287500,habitat_coastal,benthopelagic,80,NA,464679.6398,0.601331042,3.753198252,Actinopteri,NA,0.060991803,0.060991803,10.48565514,0.021204,0.469069439,NA,0.070741403,36.00077961,NA
Larimichthys polyactis,Sciaenidae,982500,habitat_coastal,benthopelagic,40,NA,3116786.623,0.546792217,3.72,Actinopteri,NA,0.218337659,0.218337659,4.17,0.025016,0.419377278,NA,0.045744956,36.33459921,NA
Larimus breviceps,Sciaenidae,1682500,habitat_coastal,demersal,31,NA,1092.689317,0.716833218,3.52,Actinopteri,LC,0.020686774,0.020686774,0.445649557,8.13E-06,0.32,NA,0.010003766,29.11448027,NA
Lateolabrax japonicus,Lateolabracidae,1177500,habitat_reef,reef-associated,102,NA,104691.8211,0.280379763,3.1,Actinopteri,NA,0.027348309,0.027348309,39.83,0.014020895,0.040637322,NA,0.073767207,42.08585506,NA
Lates calcarifer,Latidae,8162500,habitat_coastal,demersal,200,NA,495833.8181,0.707443985,3.855928723,Actinopteri,NA,0.524649642,0.524649642,220.625,0.022602017,31.32271153,NA,0.28843289,45.08464349,NA
Leiostomus xanthurus,Sciaenidae,980000,habitat_coastal,demersal,36,NA,17575.357,0.766431999,3.23,Actinopteri,LC,0.222006046,0.222006046,220.625,0.021204,0.419377278,NA,0.063355666,35.42562662,NA
Lepidocybium flavobrunneum,Gempylidae,14260000,migratory,benthopelagic,200,NA,2435.848754,0.41595686,4.332224948,Actinopteri,LC,23.22898081,23.22898081,119173.5,0.048,24.63249455,NA,6.528817925,45.73960913,NA
Lepidonotothen squamifrons,Nototheniidae,995000,habitat_benthic,benthopelagic,55,NA,171.421403,0.233506431,3.538398025,Actinopteri,NA,0.029410133,0.029410133,4.069771569,0.020686774,0.25,NA,0.04377208,51.51209412,NA
Lepidopsetta bilineata,Pleuronectidae,2527500,habitat_benthic,demersal,58,NA,2016952.053,0.174289797,3.18,Actinopteri,NA,0.145837,0.145837,220.625,0.02094379,0.77,NA,0.048121653,58.07836982,NA
Lepidopus caudatus,Trichiuridae,3607500,habitat_deep,benthopelagic,210,NA,223407.6131,0.292513559,3.82,Actinopteri,DD,0.222006046,0.222006046,42.10249306,0.022602017,7.78,NA,0.278977434,48.26941255,NA
Lepidorhombus boscii,Scophthalmidae,1817500,habitat_benthic,demersal,40,NA,5157.681725,0.512571372,3.74,Actinopteri,NA,0.222006046,0.222006046,0.77,0.020686774,0.419377278,NA,0.036289206,43.1782824,NA
Lepidorhombus whiffiagonis,Scophthalmidae,1412500,habitat_benthic,bathydemersal,60,NA,1993.643305,0.443300965,4.34,Actinopteri,NA,0.021204,0.021204,4.17,0.0013065,0.25,NA,0.046108715,43.38751411,NA
Lepidorhynchus denticulatus,Macrouridae,1452500,habitat_deep,bathypelagic,55,NA,38250.58067,0.176141849,3.70650255,Actinopteri,NA,0.040637322,0.040637322,8.5,0.017712,0.301662063,NA,0.064862608,42.69375238,NA
Lethrinus atlanticus,Lethrinidae,447500,habitat_reef,reef-associated,50,NA,599.9491202,0.429583095,3.585093727,Actinopteri,LC,0.218337659,0.218337659,3.75,0.020686774,0.419377278,NA,0.052708371,27.14498488,NA
Lethrinus borbonicus,Lethrinidae,2240000,habitat_reef,reef-associated,40,NA,1859.123649,0.636246008,3.519719772,Actinopteri,NA,0.3026,0.3026,69.37218463,0.060991803,0.419377278,NA,0.0515186,27.8671327,NA
Lethrinus harak,Lethrinidae,8735000,habitat_reef,reef-associated,54.90000153,thumbprint emperor,139.727987,0.395683078,3.59,Actinopteri,LC,0.218337659,0.218337659,8.5,0.023778395,0.419377278,0.0019881,0.06080907,29.09891138,28
Lethrinus lentjan,Lethrinidae,11545000,habitat_reef,reef-associated,52,NA,52998.41671,0.428074524,3.94,Actinopteri,LC,0.222006046,0.222006046,39.83,0.007726488,4.17,NA,0.14364831,33.73607983,NA
Lethrinus mahsena,Lethrinidae,2142500,habitat_reef,reef-associated,65,NA,3394.310692,0.322404193,3.482363246,Actinopteri,NA,0.145837,0.145837,8.5,0.025016,0.390708752,NA,0.065710408,40.96876632,NA
Lethrinus microdon,Lethrinidae,11337500,habitat_reef,reef-associated,80,NA,631.1027783,0.404758161,3.818572233,Actinopteri,LC,0.3026,0.3026,23.36565604,0.027348309,4.17,NA,0.132668384,28.95898802,NA
Lethrinus nebulosus,Lethrinidae,11485000,habitat_reef,reef-associated,87,spangled emperor,540.0978942,0.334828189,3.76,Actinopteri,LC,0.32,0.32,25.84512199,0.027348309,8.5,8.5,0.131282043,35.98728216,32.7
Lethrinus obsoletus,Lethrinidae,8592500,habitat_reef,reef-associated,60,NA,988.3063252,0.456931205,3.89,Actinopteri,LC,0.222006046,0.222006046,8.5,0.020686774,0.77,NA,0.062001629,24.49271924,19.85
Lethrinus xanthochilus,Lethrinidae,10410000,habitat_reef,reef-associated,70,NA,137.2629902,0.313354677,3.78,Actinopteri,LC,0.190553387,0.190553387,39.83,0.025016,8.5,NA,0.076287573,42.51721658,26.65
Lichia amia,Carangidae,4077500,habitat_coastal,pelagic-neritic,200,NA,6692.697819,0.934625792,4.5,Actinopteri,LC,0.75925,0.75925,220.625,0.022602017,69.37218463,NA,0.344736403,42.6771808,NA
Limanda aspera,Pleuronectidae,2760000,habitat_benthic,demersal,49,NA,1106957.153,0.195797383,3.49,Actinopteri,NA,0.218337659,0.218337659,8.5,0.025016,0.77,NA,0.047528635,54.67687606,NA
Limanda limanda,Pleuronectidae,1395000,habitat_benthic,demersal,40,NA,97722.63055,0.461184433,3,Actinopteri,LC,0.222006046,0.222006046,4.17,0.034570928,0.419377278,NA,0.040612883,49.54952272,NA
Lithognathus mormyrus,Sparidae,2035000,habitat_reef,demersal,55,NA,15943.68564,0.517022487,3.473024044,Actinopteri,LC,0.222006046,0.222006046,5.523838677,0.020686774,0.419377278,NA,0.065942281,28.28336032,NA
Lophius americanus,Lophiidae,1295000,habitat_benthic,demersal,120,NA,81159.26438,0.342918037,4.51,Actinopteri,NA,0.029410133,0.029410133,7.78,0.004257833,0.048,NA,0.06599168,52.19728118,NA
Lophius budegassa,Lophiidae,2537500,habitat_benthic,bathydemersal,100,NA,219.2480968,0.402594383,4.41,Actinopteri,DD,0.029410133,0.029410133,220.625,0.003297,0.190553387,NA,0.051496222,43.40314349,NA
Lophius gastrophysus,Lophiidae,3115000,habitat_benthic,bathydemersal,60,NA,26440.60164,0.424921798,4.49,Actinopteri,LC,0.048,0.048,7.78,0.0013065,0.75925,NA,0.061664608,52.03890758,NA
Lophius piscatorius,Lophiidae,3087500,habitat_benthic,bathydemersal,200,NA,106902.5645,0.394021904,4.45,Actinopteri,LC,0.048,0.048,220.625,0.003297,7.78,NA,0.215581703,50.65968218,NA
Lophius vomerinus,Lophiidae,360000,habitat_benthic,bathydemersal,100,NA,9136.97261,0.446457287,4.444294631,Actinopteri,NT,0.003297,0.003297,7.78,0.00123027,0.025016,NA,0.022152436,44.30804728,NA
Lutjanus analis,Lutjanidae,2712500,habitat_reef,reef-associated,94,mutton snapper,158.9383908,0.374912566,3.91,Actinopteri,NT,0.190553387,0.190553387,8.5,0.029410133,0.32,0.190553387,0.066241886,30.14590003,31
Lutjanus argentimaculatus,Lutjanidae,13092500,habitat_reef,reef-associated,150,NA,81911.08825,0.345913558,3.58,Actinopteri,LC,8.5,8.5,91382,0.027348309,24.63249455,NA,4.488792345,40.33248567,NA
Lutjanus argentiventris,Lutjanidae,712500,habitat_reef,reef-associated,71,NA,14303.98733,0.312507548,4.052050704,Actinopteri,LC,0.029410133,0.029410133,4.290933142,0.014020895,0.166702532,NA,0.063555094,43.28234783,22.9
Lutjanus bohar,Lutjanidae,12705000,habitat_reef,reef-associated,90,NA,2388.102002,0.402942588,4.27,Actinopteri,LC,0.027348309,0.027348309,25.84512199,0.001267812,0.635594387,NA,0.126975419,30.15185861,NA
Lutjanus buccanella,Lutjanidae,2275000,habitat_coastal,reef-associated,75,NA,59.15550784,0.522081563,3.921302776,Actinopteri,DD,0.190553387,0.190553387,8.5,0.022602017,0.364,NA,0.063857697,26.63416217,26
Lutjanus campechanus,Lutjanidae,2282500,habitat_reef,reef-associated,100,red snapper,16964.4668,0.353869418,3.939981057,Actinopteri,VU,0.025016,0.025016,4.438338373,0.004257833,0.046225266,0.004257833,0.068259065,32.37267629,28
Lutjanus cyanopterus,Lutjanidae,2590000,habitat_reef,reef-associated,160,NA,292.0709686,0.38120872,4.36,Actinopteri,VU,0.145837,0.145837,220.625,0.019379506,8.132035416,NA,0.220655935,30.70193911,29
Lutjanus gibbus,Lutjanidae,12437500,habitat_reef,reef-associated,56.79999924,NA,844.8831364,0.436363308,4.12,Actinopteri,LC,0.020686774,0.020686774,24.63249455,2.14E-04,0.233633077,NA,0.111148997,26.6079968,54
Lutjanus griseus,Lutjanidae,2207500,habitat_reef,reef-associated,89,grey snapper,1831.695549,0.328631033,4.23,Actinopteri,LC,0.048,0.048,4.477796392,0.021204,0.205679372,0.145837,0.063901418,33.35153056,32.4
Lutjanus guttatus,Lutjanidae,542500,habitat_reef,reef-associated,80,NA,983.5538908,0.369622858,4.04,Actinopteri,LC,0.029410133,0.029410133,4.17,0.003348104,0.364,NA,0.063965598,28.32266857,24.15
Lutjanus johnii,Lutjanidae,11712500,habitat_reef,reef-associated,97,NA,40553.99237,0.365000513,4.2,Actinopteri,LC,0.027348309,0.027348309,39.83,0.004257833,3.954427898,NA,0.149873949,38.32891148,NA
Lutjanus kasmira,Lutjanidae,12822500,habitat_reef,reef-associated,40,NA,40.45108344,0.454178194,3.87,Actinopteri,LC,0.060991803,0.060991803,23.22898081,5.13E-04,0.32,NA,0.084382752,30.48629937,31
Lutjanus malabaricus,Lutjanidae,10885000,habitat_reef,reef-associated,100,NA,2714.095459,0.299989449,4.48,Actinopteri,NA,0.040637322,0.040637322,359.0771463,0.007726488,1.779346088,NA,0.14286951,38.92841282,NA
Lutjanus peru,Lutjanidae,502500,habitat_reef,reef-associated,95,NA,3033.722169,0.268598097,4.033372459,Actinopteri,LC,0.025016,0.025016,8.5,0.004257833,0.190553387,NA,0.066168724,39.29171518,NA
Lutjanus purpureus,Lutjanidae,1527500,habitat_reef,demersal,100,NA,50541.7241,0.307978176,3.58,Actinopteri,NA,0.025016,0.025016,4.477796392,0.004257833,0.040637322,NA,0.072108601,48.35374909,NA
Lutjanus quinquelineatus,Lutjanidae,9740000,habitat_reef,reef-associated,38,NA,1784.884776,0.326846869,3.68,Actinopteri,LC,0.218337659,0.218337659,8.5,0.006904422,1.699264547,NA,0.046080624,37.28664875,NA
Lutjanus synagris,Lutjanidae,3455000,habitat_reef,reef-associated,60,NA,28340.63155,0.66052967,3.82,Actinopteri,NT,0.3026,0.3026,77.88114116,0.021204,0.77,NA,0.08611297,32.8806261,23.87
Lutjanus vivanus,Lutjanidae,2635000,habitat_reef,reef-associated,83,NA,230.3172043,0.251652933,3.09,Actinopteri,LC,0.060991803,0.060991803,9.919689167,0.025016,0.469069439,NA,0.064495525,37.20471873,NA
Macrodon ancylodon,Sciaenidae,1177500,habitat_coastal,demersal,45,NA,49574.92161,0.61741782,3.921302776,Actinopteri,LC,0.222006046,0.222006046,77.88114116,0.021204,0.419377278,NA,0.075842946,35.99894934,NA
