species,genus,subfamily,family,order,class_taxon,super_class,ocean,basin,food_i,food_mode,temp_preferred,temp_range,climate,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,dev_place,sp_richness,comments,circadian,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3
Seriolella porosa,Seriolella,NA,Centrolophidae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,zooplankton,specialist,18,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,31,NA,NA,NA,NA,62500,habitat_coastal,benthopelagic,44,NA,63803.72084,0.319065467,3.454510743,NA,0.020307777,43.26346382,NA,0.020307777,43.26346382,-2,2,1,8,mid-low/mid
Seriolella punctata,Seriolella,NA,Centrolophidae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,14,NA,tropical,NA,fusiform / normal,15,NA,NA,planktonic,31,NA,NA,NA,NA,1765000,migratory,benthopelagic,66,NA,87626.04899,0.261217826,3.575942787,NA,0.167843269,38.56734453,NA,0.167843269,38.56734453,-1,2,1,1,mid-high/mid
Seriolina nigrofasciata,Seriolina,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,NA,tropical,NA,short and / or deep,NA,NA,NA,planktonic,148,NA,NA,NA,NA,11355000,habitat_reef,reef-associated,70,NA,7364.200794,0.934625792,4.173762079,LC,0.760674726,34.62731034,NA,0.760674726,34.62731034,-1,2,1,1,mid-high/mid
Serranus cabrilla,Serranus,Serraninae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, plants, zoobenthos, zooplankton",generalist,23,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,577,NA,NA,0.77,15,3617500,habitat_benthic,demersal,40,comber,740.2557183,0.511028812,3.35,LC,0.03867428,42.27796105,NA,0.77,42.27796105,-1,2,1,1,mid-high/mid
Sillago sihama,Sillago,NA,Sillaginidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,27,3,tropical,75362,elongated,7,NA,NA,planktonic,35,NA,NA,NA,NA,9625000,habitat_coastal,reef-associated,31,NA,3527.909001,0.712832445,3.33,LC,0.001278577,31.37380084,NA,0.001278577,31.37380084,-3,2,1,8,mid-low/mid
Solea senegalensis,Solea,NA,Soleidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,22,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,185,NA,NA,1.021555907,17,920000,habitat_benthic,demersal,60,senegalese sole,750.310577,0.140517811,3.314396846,DD,0.04356116,59.2791669,NA,1.021555907,59.2791669,0,2,1,1,mid-high/mid
Solea solea,Solea,NA,Soleidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,16,16,subtropical,157000,short and / or deep,26.399999618530273,172.28285714285715,17.885714285714286,planktonic,185,"Adults occur at a temperature range of 8.0-24.0°C (Ref. 4944).  Usually solitary.  They burrow into sandy and muddy bottoms.  Retreat to deeper water during winter (Ref. 9988).  Juveniles are found during the first 2 to 3 years in coastal nurseries (bays and nurseries) before migrating to deeper waters (Ref. 92286).  Adults feed on worms, mollusks and small crustaceans at night.  Waden sea is the most important nursery area.  Batch spawner (Ref. 51846).  Recruitment is very variable.  Frequently found pelagically during spawning migrations (Ref. 35388).  Marketed fresh and frozen; utilized steamed, fried, broiled, microwaved and baked (Ref. 9988).",nocturnal,NA,NA,1462500,habitat_benthic,demersal,70,NA,164180.231,0.314243351,3.21,DD,0.17853108,62.95500255,45,0.17853108,45,-1,2,1,1,mid-high/mid
Sparisoma cretense,Sparisoma,Sparisomatinae,Scaridae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"plants, zoobenthos, zooplankton",generalist,26,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,100,NA,NA,0.041983,12,1422500,habitat_coastal,reef-associated,50,parrotfish,2093.718353,0.485599221,2.950100715,LC,0.067663122,32.06815213,NA,0.041983,32.06815213,-2,2,1,8,mid-low/mid
Sparus aurata,Sparus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,26,NA,tropical,NA,fusiform / normal,11,203,18.5,planktonic,162,NA,NA,0.1674366,5,1810000,habitat_reef,demersal,70,gilthead seabream,52530.50873,0.379937307,3.7,LC,0.208232439,44.77549028,52,0.1674366,52,-1,2,1,1,mid-high/mid
Sphyraena barracuda,Sphyraena,NA,Sphyraenidae,Carangaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,27,NA,tropical,NA,elongated,NA,NA,NA,planktonic,29,NA,NA,1.39,32,16007500,habitat_coastal,reef-associated,200,great barracuda,48650.52905,0.282732218,4.49,LC,2.532902425,43.37028066,NA,1.39,43.37028066,0,2,1,1,mid-high/mid
Sphyraena jello,Sphyraena,NA,Sphyraenidae,Carangaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,26,NA,tropical,NA,elongated,NA,NA,NA,NA,29,NA,NA,NA,NA,12932500,habitat_coastal,reef-associated,150,NA,1405.594128,0.597620596,4.5,NA,1.845356386,32.21279993,NA,1.845356386,32.21279993,0,2,1,1,mid-high/mid
Sphyraena obtusata,Sphyraena,NA,Sphyraenidae,Carangaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,NA,NA,28,NA,tropical,NA,elongated,NA,NA,NA,NA,29,"Inhabits bays and estuaries (Ref. 9768).  Found in schools in seagrass beds and rocky reefs (Ref. 9563).  Feeds mainly on fishes.  Exhibits diurnal behavior.  Also caught with set nets (Ref. 9768).  Sold fresh, frozen or dried salted in markets. From 15-120m in Ref. 012260.",diurnal,NA,NA,13422500,habitat_coastal,reef-associated,55,NA,272.2131651,0.681157357,4.5,NA,0.374617554,31.16676728,NA,0.374617554,31.16676728,-1,2,1,1,mid-high/mid
Sphyraena sphyraena,Sphyraena,NA,Sphyraenidae,Carangaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,subtropical,NA,elongated,NA,NA,NA,NA,29,NA,NA,NA,NA,2112500,habitat_coastal,pelagic neritic,165,NA,355.4622256,0.488918336,4.052330035,LC,0.160369169,30.39808491,NA,0.160369169,30.39808491,-1,2,1,1,mid-high/mid
Spondyliosoma cantharus,Spondyliosoma,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, plants, zoobenthos, zooplankton",generalist,15,NA,subtropical,117323.66666666667,fusiform / normal,NA,NA,NA,planktonic,162,NA,NA,NA,NA,3510000,habitat_reef,benthopelagic,60,NA,62479.58166,0.395053221,3.34,LC,0.166995577,35.50824757,34.775,0.166995577,34.775,-1,2,1,1,mid-high/mid
Sprattus fuegensis,Sprattus,Clupeinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"plants, zoobenthos, zooplankton",generalist,8,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,188,NA,NA,NA,NA,282500,habitat_coastal,pelagic neritic,18,NA,12980.05344,0.593471516,2.707236627,LC,5.88e-4,35.65012155,NA,5.88e-4,35.65012155,-4,2,7,7,low/mid
Sprattus sprattus,Sprattus,Clupeinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,zooplankton,specialist,11,NA,subtropical,11249.727272727272,fusiform / normal,6,NA,NA,planktonic,188,NA,NA,NA,NA,1992500,migratory,pelagic neritic,16,NA,399549.1027,0.475566882,3.090214611,LC,0.001688348,40.09952158,NA,0.001688348,40.09952158,-3,2,1,8,mid-low/mid
Stenotomus chrysops,Stenotomus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,19,NA,subtropical,4000,short and / or deep,NA,NA,NA,NA,162,NA,NA,NA,NA,602500,habitat_reef,demersal,46,NA,134258.1063,0.347529243,3.82,NT,0.083701674,37.59700612,NA,0.083701674,37.59700612,-2,2,1,8,mid-low/mid
Stephanolepis cirrhifer,Stephanolepis,NA,Monacanthidae,Tetraodontiformes,Actinopteri,Osteichthyes,Pacific,West,"plants, zoobenthos",generalist,22,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,108,NA,NA,NA,NA,242500,habitat_coastal,demersal,30,NA,270394.69,0.842910887,2.931418862,LC,9.19e-4,39.29188721,NA,9.19e-4,39.29188721,-4,2,7,7,low/mid
Stereolepis gigas,Stereolepis,NA,Polyprionidae,Acropomatiformes,Actinopteri,Osteichthyes,Pacific,Both,nekton,specialist,23,NA,subtropical,NA,fusiform / normal,75,NA,NA,planktonic,4,NA,NA,NA,NA,632500,habitat_benthic,demersal,250,NA,33.70154285,0.278444226,4.482012652,CR,0.246827955,49.83530978,NA,0.246827955,49.83530978,-1,2,1,1,mid-high/mid
Stromateus fiatola,Stromateus,NA,Stromateidae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, zooplankton",generalist,24,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,17,NA,NA,NA,NA,1900000,pelagic oceanic,benthopelagic,50,NA,9289.599466,0.838796982,4.042989109,LC,0.072893244,33.22565388,NA,0.072893244,33.22565388,-2,2,1,8,mid-low/mid
Tautoga onitis,Tautoga,NA,Labridae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,zoobenthos,specialist,12,NA,subtropical,NA,fusiform / normal,34,NA,NA,planktonic,559,"Found close to shore on hard-bottom habitats, occasionally entering brackish water.  Adult male territorial and active during the day to feed and rests in crevices at night.  Prefers temperatures above 10°C.  Spawning was noted in June-July in Canadian waters, but appears more protracted (April-July) in coastal waters of Virginia, USA.  Feeds mainly on mussels, gastropods, other mollusks and crustaceans.  This species has gained popularity as a prized food and sport fish (Ref. 6486, 4926, 41297).  Investigation on the diel and seasonal activity patterns of the adult tautog in its southern range were conducted using ultrasonic telemetry (Ref. 41297).",diurnal,NA,NA,415000,habitat_coastal,reef-associated,91,NA,859.9392305,0.359313762,3.379783269,VU,0.045648641,34.03006098,NA,0.045648641,34.03006098,-2,2,1,8,mid-low/mid
Tautogolabrus adspersus,Tautogolabrus,NA,Labridae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"zoobenthos, zooplankton",generalist,7,NA,subtropical,NA,fusiform / normal,6,157,20.5,planktonic,559,NA,NA,NA,NA,990000,habitat_coastal,reef-associated,38,NA,17.04358747,0.542139383,3.72,LC,0.020457771,28.52744123,NA,0.020457771,28.52744123,-2,1,4,4,mid/low
Tenualosa ilisha,Tenualosa,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,Indian Ocean,Both,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,27,NA,tropical,661000,fusiform / normal,5,NA,NA,NA,188,NA,NA,NA,NA,1715000,migratory,pelagic neritic,60,NA,1062830.659,1.644075154,2.978123494,LC,0.126309879,46.33128022,NA,0.126309879,46.33128022,-1,2,1,1,mid-high/mid
Tenualosa toli,Tenualosa,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"plants, zooplankton",generalist,28,NA,tropical,NA,fusiform / normal,2,NA,NA,NA,188,NA,NA,NA,NA,2412500,habitat_coastal,pelagic neritic,60,NA,7197.743231,2.001580709,2.59514551,VU,0.097897931999999993,37.46228828,NA,0.097897931999999993,37.46228828,-2,2,1,8,mid-low/mid
Tetrapturus angustirostris,Tetrapturus,NA,Istiophoridae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,28,NA,tropical,NA,elongated,NA,NA,NA,planktonic,11,NA,NA,NA,NA,156842500,hms,pelagic oceanic,230,NA,422.4151485,0.48980251,4.482012652,DD,14972.86136,31.26415733,NA,14972.86136,31.26415733,4,2,6,2,high/mid
Tetrapturus belone,Tetrapturus,NA,Istiophoridae,Carangiformes,Actinopteri,Osteichthyes,Mediterranean and Black Sea,NA,"nekton, zooplankton",generalist,NA,NA,subtropical,NA,elongated,NA,NA,NA,NA,11,NA,NA,NA,NA,2882500,hms,pelagic oceanic,240,NA,36.2268458,0.48980251,4.341898755,LC,0.32447377,31.67516171,NA,0.32447377,31.67516171,-1,2,1,1,mid-high/mid
Tetrapturus pfluegeri,Tetrapturus,NA,Istiophoridae,Carangiformes,Actinopteri,Osteichthyes,Atlantic,Both,nekton,specialist,26,NA,subtropical,NA,elongated,NA,NA,NA,NA,11,NA,NA,NA,NA,40682500,hms,pelagic oceanic,254,NA,882.5026234,0.48980251,4.4,LC,6.662213829,30.07516224,NA,6.662213829,30.07516224,0,2,1,1,mid-high/mid
