magnitude_homerange,month_pld,species,class
-3,2,Gerres oyena,1
-3,2,Glossanodon semifasciatus,1
-2,3,Glyptocephalus cynoglossus,3
-2,2,Glyptocephalus zachirus,1
0,2,Gnathanodon speciosus,1
-4,2,Grammoplites suppositus,7
0,2,Gymnosarda unicolor,1
-2,1,Haemulon plumierii,4
-2,2,Harpadon nehereus,1
-1,2,Helicolenus dactylopterus,1
-2,2,Hemiramphus balao,1
-1,2,Hemiramphus brasiliensis,1
-4,2,Herklotsichthys quadrimaculatus,7
-2,2,Hexagrammos decagrammus,1
-3,2,Hilsa kelee,1
-2,2,Hippoglossoides elassodon,1
-2,2,Hippoglossoides platessoides,1
0,2,Hippoglossus hippoglossus,1
-2,1,Hoplopagrus guentherii,4
-2,2,Hoplostethus atlanticus,1
-2,2,Hydrolagus novaezealandiae,1
-1,2,Hyperoglyphe antarctica,1
-2,2,Hyporthodus flavolimbatus,1
-2,2,Hyporthodus mystacinus,1
-1,2,Hyporthodus nigritus,1
-2,2,Hyporthodus niveatus,1
-3,2,Ilisha africana,1
-1,2,Ilisha elongata,1
-2,2,Isacia conceptionis,1
-2,1,Isopisthus parvipinnis,4
4,2,Istiompax indica,6
0,2,Istiophorus albicans,1
-2,2,Joturus pichardi,1
0,2,Kajikia albida,1
4,2,Kajikia audax,6
-2,2,Kathetostoma giganteum,1
3,1,Katsuwonus pelamis,2
-3,2,Konosirus punctatus,1
-2,2,Lactarius lactarius,1
3,2,Lampris guttatus,6
-1,2,Larimichthys crocea,1
-2,2,Larimichthys polyactis,1
-3,1,Larimus breviceps,4
-1,2,Lateolabrax japonicus,1
-1,2,Lates calcarifer,1
-3,2,Leiostomus xanthurus,1
0,2,Lepidocybium flavobrunneum,1
-2,2,Lepidonotothen squamifrons,1
-2,2,Lepidopsetta bilineata,1
-1,2,Lepidopus caudatus,1
-2,2,Lepidorhombus boscii,1
-2,2,Lepidorhombus whiffiagonis,1
-2,2,Lepidorhynchus denticulatus,1
-2,1,Lethrinus atlanticus,4
-2,1,Lethrinus borbonicus,4
-1,2,Lethrinus lentjan,1
-2,2,Lethrinus mahsena,1
-1,1,Lethrinus microdon,4
-2,1,Lethrinus obsoletus,4
-2,1,Lethrinus xanthochilus,4
-1,2,Lichia amia,1
-2,2,Limanda aspera,1
-1,2,Myzopsetta ferruginea,1
-2,2,Limanda limanda,1
-2,1,Lithognathus mormyrus,4
-1,2,Lophius americanus,1
-2,2,Lophius budegassa,1
-2,2,Lophius gastrophysus,1
-1,2,Lophius piscatorius,1
-2,2,Lophius vomerinus,1
0,2,Lutjanus argentimaculatus,1
-2,1,Lutjanus argentiventris,4
-1,2,Lutjanus bohar,1
-2,1,Lutjanus buccanella,4
-1,1,Lutjanus cyanopterus,4
-1,2,Lutjanus gibbus,1
-2,1,Lutjanus guttatus,4
0,2,Lutjanus johnii,1
-1,2,Lutjanus kasmira,1
-2,2,Lutjanus malabaricus,1
-2,2,Lutjanus peru,1
-1,2,Lutjanus purpureus,1
-2,2,Lutjanus quinquelineatus,1
-1,1,Lutjanus synagris,4
-2,2,Lutjanus vivanus,1
-1,2,Macrodon ancylodon,1
-1,2,Macrourus berglax,1
-1,2,Macrourus carinatus,1
-1,2,Macrourus whitsoni,1
-2,2,Malacanthus plumieri,1
-2,5,Mallotus villosus,5
-1,2,Megalaspis cordyla,1
0,2,Megalops cyprinoides,1
-1,5,Melanogrammus aeglefinus,5
-3,2,Mene maculata,1
-3,2,Menidia menidia,1
-2,1,Menticirrhus littoralis,4
-2,1,Menticirrhus saxatilis,4
-1,2,Merlangius merlangus,1
-2,2,Merluccius albidus,1
-2,2,Merluccius australis,1
-2,2,Merluccius bilinearis,1
-1,3,Merluccius capensis,3
-2,2,Merluccius hubbsi,1
-1,2,Merluccius merluccius,1
-2,2,Merluccius polli,1
-2,3,Merluccius productus,3
-2,1,Merluccius senegalensis,4
-3,2,Meuschenia scaber,1
