species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Ophiodon elongatus,lingcod,0.0019795,9,37899.04790987769,0.1429173311,NA,152,4.53,Actinopteri,demersal,Hexagrammidae,migratory,722500,3
Pagrus auratus,australasian snapper,0.0298,5,308915.0835908572,0.212995064,NA,130,3.59,Actinopteri,reef-associated,Sparidae,habitat_reef,1832500,2
Pagrus pagrus,red porgy,0.303,5,69501.76972717891,0.3936744648,LC,91,3.86,Actinopteri,benthopelagic,Sparidae,habitat_reef,5512500,2
Paralichthys olivaceus,bastard halibut,1.49e-5,4,5662.614177373468,0.8737338834,NA,103,4.46,Actinopteri,demersal,Paralichthyidae,habitat_benthic,1642500,2
Parophrys vetulus,english sole,0.027,8,21879.979383269354,0.313793044,NA,49,3.445169816308135,Actinopteri,demersal,Pleuronectidae,migratory,1230000,3
Plectropomus areolatus,squaretail coralgrouper,0.048,15,3094.997213065265,0.3217269456,VU,80,4.4820126516281515,Actinopteri,reef-associated,Serranidae,migratory,5310000,2
Plectropomus leopardus,coral trout,0.0146275,39,148319.65185550548,0.2621369961,LC,120,4.42,Actinopteri,reef-associated,Serranidae,habitat_reef,8795000,2
Pollachius pollachius,pollack,0.009056,2,77783.54454447336,0.4373369226,LC,130,4.32,Actinopteri,benthopelagic,Gadidae,habitat_coastal,1365000,3
Pollachius virens,saithe,0.044516,2,890845.9367533724,0.2927713479,NA,130,4.31,Actinopteri,demersal,Gadidae,migratory,1737500,3
Prolatilus jugularis,pacific sandperch,6.45e-6,136,735.5556771418981,0.636895363,NA,40,3.7347385360821934,Actinopteri,demersal,Pinguipedidae,habitat_benthic,295000,2
Pseudocaranx dentex,white trevally,1.02,7,12157.548427403375,0.3819042982,LC,122,3.92,Actinopteri,reef-associated,Carangidae,habitat_coastal,4832500,2
Salmo trutta,sea trout,71.3,6,4797.810025948332,0.7458586273,LC,140,3.36,Actinopteri,pelagic-neritic,Salmonidae,migratory,1677500,3
