species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Coryphaena hippurus,NA,Coryphaenidae,NA,197602500,hms,pelagic-neritic,210,NA,293986.8201,0.795560345,4.37,Actinopteri,LC,8702.014652,35.59758648,NA
Coryphaenoides rupestris,NA,Macrouridae,NA,2527500,habitat_deep,bathypelagic,110,NA,511478.7341,0.071986899,3.69737483,Actinopteri,CR,0.126818925,60.92466675,NA
Cottoperca gobio,NA,Bovichtidae,NA,665000,territorial,demersal,80,NA,35.33597676,0.630179269,4.257830417,Actinopteri,NA,0.01724786,23.51767136,NA
Crenidens crenidens,NA,Sparidae,NA,1897500,habitat_coastal,demersal,30,NA,22.55929735,0.518987796,2.894055156,Actinopteri,LC,9.50E-04,31.78400825,NA
Cromileptes altivelis,NA,Serranidae,NA,7332500,habitat_reef,reef-associated,70,NA,191382.417,0.151702421,4.482012652,Actinopteri,DD,0.057130228,31.91522788,24
Ctenolabrus rupestris,NA,Labridae,NA,1272500,habitat_reef,reef-associated,18,NA,2070.185701,0.491971324,3.58,Actinopteri,LC,0.001042471,26.5035929,20.9
Cyclopterus lumpus,NA,Cyclopteridae,NA,4235000,migratory,benthopelagic,61,NA,195061.7514,0.14428799,3.89,Actinopteri,NA,0.109753013,48.06082106,NA
Cymatoceps nasutus,NA,Sparidae,NA,135000,habitat_coastal,demersal,150,NA,107.9575144,0.189296689,3.603965566,Actinopteri,VU,0.025958895,37.92367488,NA
Cynoponticus coniceps,NA,Muraenesocidae,NA,565000,sedentary,demersal,202,NA,41.31668095,0.409229387,4.042989109,Actinopteri,DD,0.071526548,46.82208228,NA
Cynoscion acoupa,NA,Sciaenidae,NA,1062500,habitat_coastal,demersal,110,NA,78789.14733,0.392131823,4.061670962,Actinopteri,LC,0.172468492,39.25505889,NA
Cynoscion analis,NA,Sciaenidae,NA,12500,habitat_coastal,demersal,47,NA,24108.18213,0.551630808,4.06,Actinopteri,LC,0.015624901,28.53682016,NA
Cynoscion arenarius,NA,Sciaenidae,NA,737500,habitat_coastal,demersal,63.5,NA,1093.045778,0.789800407,4.17,Actinopteri,LC,0.046417554,32.64518757,NA
Cynoscion guatucupa,NA,Sciaenidae,NA,497500,habitat_coastal,benthopelagic,50,NA,12600.54722,0.546839108,3.753420389,Actinopteri,NA,0.052651213,30.35473389,NA
Cynoscion jamaicensis,NA,Sciaenidae,NA,1850000,habitat_coastal,demersal,50,NA,16743.59145,0.661378058,3.865511506,Actinopteri,LC,0.119455734,30.44268028,NA
Cynoscion leiarchus,NA,Sciaenidae,NA,1052500,habitat_coastal,demersal,90.80000305,NA,3205.040971,0.646582686,3.136919244,Actinopteri,LC,0.14660248,33.51338781,NA
Cynoscion nebulosus,NA,Sciaenidae,NA,557500,habitat_coastal,demersal,100,NA,23214.89583,0.436633792,3.996284477,Actinopteri,LC,0.1474311,27.46066944,19.5
Cynoscion regalis,NA,Sciaenidae,NA,320000,habitat_coastal,demersal,98,NA,39327.35894,0.331251585,3.77,Actinopteri,NA,0.040609059,42.76776977,NA
Cynoscion striatus,NA,Sciaenidae,NA,580000,habitat_reef,demersal,60,NA,93747.47506,0.561883634,3.9,Actinopteri,NA,0.077897049,31.02239478,NA
Cynoscion virescens,NA,Sciaenidae,NA,722500,habitat_coastal,demersal,115,NA,1443.494614,0.561883634,4.042989109,Actinopteri,LC,0.084426331,32.10552193,NA
Cyttus traversi,NA,Cyttidae,NA,1740000,habitat_deep,bathydemersal,54,NA,2574.854885,0.43137965,3.949579844,Actinopteri,NA,0.07086186,26.75713384,NA
Dactylopterus volitans,NA,Dactylopteridae,NA,5692500,habitat_coastal,reef-associated,50,NA,6.205821294,0.6387551,3.65,Actinopteri,LC,0.050323348,27.95528417,24
Decapterus macrosoma,NA,Carangidae,NA,14297500,pelagic,reef-associated,35,NA,3202.233997,1.339773422,3.454510743,Actinopteri,LC,0.022405888,40.87498319,NA
Decapterus maruadsi,NA,Carangidae,NA,9375000,pelagic,reef-associated,30,NA,146120.1126,1.47971252,3.454510743,Actinopteri,LC,0.001937703,36.31229102,NA
Decapterus russelli,NA,Carangidae,NA,11902500,pelagic,benthopelagic,45,NA,363773.9984,1.232939226,3.68,Actinopteri,LC,0.949353667,43.66195445,NA
Dentex angolensis,NA,Sparidae,NA,622500,habitat_coastal,demersal,37,NA,6022.049797,0.458551505,3.56660186,Actinopteri,NT,0.013737423,25.02172051,NA
Dentex congoensis,NA,Sparidae,NA,485000,habitat_coastal,demersal,50,NA,910.517836,0.553307118,3.744079463,Actinopteri,LC,0.038596121,27.97260903,NA
Dentex dentex,NA,Sparidae,NA,1307500,habitat_reef,benthopelagic,100,NA,13138.0328,0.29493487,4.53,Actinopteri,VU,0.063610958,39.27309615,NA
Dentex macrophthalmus,NA,Sparidae,NA,2190000,habitat_coastal,benthopelagic,65,NA,4134.759615,0.459706531,3.501215375,Actinopteri,LC,0.144694047,28.14887897,NA
Diagramma pictum,NA,Haemulidae,NA,11305000,habitat_reef,reef-associated,100,NA,13.09966939,0.515127504,3.7,Actinopteri,NA,0.812382928,30.56637522,NA
Diapterus auratus,NA,Gerreidae,NA,2477500,habitat_coastal,demersal,42.79999924,NA,1378.245233,1.366610205,2.44,Actinopteri,LC,0.075544822,46.75275281,NA
Diastobranchus capensis,NA,Synaphobranchidae,NA,3097500,habitat_deep,bathydemersal,180,NA,2.752697054,0.367639439,4.482012652,Actinopteri,NA,0.113908135,34.13703664,NA
Dicentrarchus punctatus,NA,Moronidae,NA,1585000,habitat_coastal,pelagic-neritic,70,NA,1535.080603,0.492643838,3.958920771,Actinopteri,LC,0.103101076,26.6434582,NA
Dicologlossa cuneata,NA,Soleidae,NA,1607500,habitat_benthic,demersal,30,NA,33465.21927,0.218533515,3.379783331,Actinopteri,LC,0.001427241,56.34244405,NA
Diplodus annularis,NA,Sparidae,NA,1425000,habitat_coastal,benthopelagic,27.5,NA,3757.532876,0.781098688,3.64,Actinopteri,LC,0.001227445,35.82613324,NA
Dissostichus eleginoides,NA,Nototheniidae,NA,6025000,deep,pelagic-oceanic,215,NA,111783.5265,0.107371089,4.49,Actinopteri,NA,0.109583843,56.50242511,NA
Dissostichus mawsoni,NA,Nototheniidae,NA,12715000,deep,pelagic-oceanic,200,NA,59525.89268,0.104337688,3.958920771,Actinopteri,NA,2.452571814,58.94284732,547
Drepane africana,NA,Drepaneidae,NA,545000,habitat_coastal,benthopelagic,45,NA,20718.22779,0.477805346,3.174282949,Actinopteri,LC,0.07327785,30.33113058,NA
Drepane punctata,NA,Drepaneidae,NA,9855000,habitat_coastal,reef-associated,50,NA,12343.76467,0.537312901,3.379783331,Actinopteri,NA,0.100734508,29.92457393,NA
Dussumieria acuta,NA,Dussumieriidae,NA,3960000,habitat_coastal,pelagic-neritic,20,NA,166890.2184,0.8976476,3.454510743,Actinopteri,LC,0.002191427,36.95358062,NA
Dussumieria elopsoides,NA,Dussumieriidae,NA,9642500,habitat_coastal,pelagic-neritic,20,NA,749.7783262,0.787176662,3.454510743,Actinopteri,LC,0.001235692,36.30987032,NA
Elagatis bipinnulata,NA,Carangidae,NA,15267500,pelagic,reef-associated,180,NA,55659.46335,0.893428233,4.27,Actinopteri,LC,3.224414639,37.63538674,NA
Eleginus gracilis,NA,Gadidae,NA,3077500,habitat_coastal,demersal,55,NA,285654.0008,0.307311992,4.1,Actinopteri,NA,0.083778582,42.74830866,NA
Eleginus nawaga,NA,Gadidae,NA,195000,habitat_coastal,demersal,42,NA,17168.72556,0.379867916,4.239148564,Actinopteri,NA,0.013979176,32.41993121,NA
Eleutheronema tetradactylum,NA,Polynemidae,NA,8010000,habitat_coastal,pelagic-neritic,200,NA,41062.71573,0.643974845,4.06,Actinopteri,NA,0.404722202,42.370226,NA
Elops lacerta,NA,Elopidae,NA,542500,habitat_coastal,pelagic-neritic,100,NA,10312.44854,0.593623907,4.239148564,Actinopteri,LC,0.067539434,28.98779649,NA
Elops saurus,NA,Elopidae,NA,7810000,habitat_coastal,reef-associated,100,NA,2233.495287,0.57364079,3.49,Actinopteri,LC,0.131332763,32.02430763,NA
Encrasicholina punctifer,NA,Engraulidae,NA,8592500,pelagic,reef-associated,13,NA,1435.9987,1.630046044,3.29,Actinopteri,LC,0.001318448,38.82104396,NA
Engraulis anchoita,NA,Engraulidae,NA,967500,migratory,pelagic-neritic,17,NA,1175644.452,0.639382033,2.623168289,Actinopteri,NT,0.001464965,48.42733423,NA
Engraulis encrasicolus,NA,Engraulidae,NA,3817500,migratory,pelagic-neritic,20,NA,222703.8889,0.556514588,3.192964802,Actinopteri,LC,0.002162221,39.352493,37
Engraulis japonicus,NA,Engraulidae,NA,760000,pelagic,pelagic-neritic,18,NA,1215063.273,0.795607578,3.14,Actinopteri,LC,0.001331584,47.47253833,47
Engraulis mordax,NA,Engraulidae,NA,360000,pelagic,pelagic-neritic,24.79999924,NA,424727.4555,0.452423043,3.174282949,Actinopteri,LC,0.001074256,35.53136196,32.5
Engraulis ringens,NA,Engraulidae,NA,470000,pelagic,pelagic-neritic,20,NA,6557901.089,0.648902669,2.950100617,Actinopteri,LC,0.001343759,61.71822154,74
Eopsetta jordani,NA,Pleuronectidae,NA,1140000,habitat_benthic,demersal,53,NA,46749.37249,0.112547735,4.108375594,Actinopteri,LC,0.046592669,64.39376202,NA
Epigonus telescopus,NA,Epigonidae,NA,8827500,habitat_deep,bathydemersal,75,NA,13691.58919,0.097286004,3.59,Actinopteri,LC,0.102312725,50.41641654,NA
Epinephelus aeneus,NA,Serranidae,NA,1792500,migratory,demersal,120,NA,5733.711363,0.173225323,4.033648182,Actinopteri,NT,0.076846126,50.45733321,NA
Epinephelus areolatus,NA,Serranidae,NA,12137500,habitat_coastal,reef-associated,47,NA,5778.412723,0.322549477,3.74,Actinopteri,LC,0.626355759,39.74889187,18
Epinephelus chlorostigma,NA,Serranidae,NA,13235000,habitat_coastal,reef-associated,80,NA,363.1224699,0.314979131,4.005625403,Actinopteri,LC,0.736790143,39.15809811,NA
Epinephelus fuscoguttatus,NA,Serranidae,NA,9805000,habitat_reef,reef-associated,120,NA,144.5838132,0.269601411,4.1457393,Actinopteri,VU,0.058451911,33.8602726,NA
Epinephelus goreensis,NA,Serranidae,NA,562500,habitat_benthic,demersal,140,NA,641.958191,0.286760108,3.958920771,Actinopteri,NT,0.120769627,49.41437008,NA
Epinephelus merra,NA,Serranidae,NA,9600000,habitat_reef,reef-associated,32,NA,15891.93816,0.431465308,3.82,Actinopteri,LC,0.001626583,29.92500375,34.3
Epinephelus morrhua,NA,Serranidae,NA,9242500,habitat_reef,reef-associated,90,NA,204.5017043,0.270980627,3.98694355,Actinopteri,LC,0.073610877,34.67757053,NA
Epinephelus multinotatus,NA,Serranidae,NA,615000,habitat_reef,reef-associated,100,NA,3257.873463,0.272952283,3.884193359,Actinopteri,LC,0.063490668,37.34714184,NA
Epinephelus polylepis,NA,Serranidae,NA,1007500,habitat_benthic,demersal,61,NA,2055.955937,0.281408755,3.89,Actinopteri,LC,0.052039237,52.87685851,NA
Epinephelus summana,NA,Serranidae,NA,345000,habitat_reef,reef-associated,52,NA,154.7495583,0.286760108,3.89,Actinopteri,LC,0.007979273,39.78773094,NA
Eptatretus cirrhatus,NA,Myxinidae,NA,1312500,habitat_benthic,bathydemersal,97,NA,1765.180643,0.14925158,4.949058974,Myxini,LC,0.035567459,52.79401611,NA
Ethmalosa fimbriata,NA,Clupeidae,NA,467500,habitat_coastal,pelagic-neritic,46,NA,391365.8495,0.690830323,2.576463693,Actinopteri,LC,0.070640265,38.78619663,NA
Ethmidium maculatum,NA,Clupeidae,NA,310000,habitat_coastal,pelagic-neritic,31.20000076,NA,32220.37839,1.165208538,2.07,Actinopteri,DD,7.62E-04,42.46396412,NA
Etrumeus whiteheadi,NA,Dussumieriidae,NA,227500,habitat_coastal,pelagic-neritic,22,NA,402624.5557,0.423849558,3.454510743,Actinopteri,LC,8.02E-04,33.69506383,NA
Euthynnus affinis,NA,Scombridae,NA,14720000,pelagic,pelagic-neritic,100,NA,2460508.938,0.630833414,4.5,Actinopteri,LC,1.448427163,32.98945594,NA
Euthynnus alletteratus,NA,Scombridae,NA,5647500,hms,pelagic-oceanic,122,NA,115033.1049,0.330255295,4.49,Actinopteri,LC,0.123415413,30.59830953,24
Euthynnus lineatus,NA,Scombridae,NA,477500,pelagic,pelagic-oceanic,84,NA,15997.52595,0.516132309,3.856170509,Actinopteri,LC,0.101288135,27.18352132,NA
Eutrigla gurnardus,NA,Triglidae,NA,2227500,habitat_benthic,demersal,60,NA,147714.1468,0.181531455,3.87,Actinopteri,NA,0.086716115,55.31665192,NA
Fistularia corneta,NA,Fistulariidae,NA,792500,habitat_reef,pelagic-neritic,106,NA,2562.317579,0.858533703,4.482012652,Actinopteri,LC,0.052681798,35.14450956,NA
Gadiculus argenteus,NA,Gadidae,NA,1740000,habitat_deep,pelagic-oceanic,15.25,NA,159.7449863,0.917086686,3.6,Actinopteri,NA,9.61E-04,37.48686894,NA
Gadus macrocephalus,NA,Gadidae,NA,2920000,habitat_deep,demersal,119,NA,1100617.358,0.254822292,3.97,Actinopteri,NA,0.198614527,47.69530642,NA
Galeoides decadactylus,NA,Polynemidae,NA,197500,habitat_coastal,demersal,50,NA,44470.1575,0.509571815,3.613306492,Actinopteri,NT,0.022949586,35.51666297,NA
Gasterochisma melampus,NA,Scombridae,NA,63335000,deep,pelagic-oceanic,164,NA,20.80741126,0.596518223,4.341898755,Actinopteri,LC,1.220529296,41.02734204,NA
Gasterosteus aculeatus,NA,Gasterosteidae,NA,6017500,habitat_coastal,benthopelagic,11,NA,579.8245284,0.997632856,3.31,Actinopteri,LC,0.001045985,37.26381718,35
Genyonemus lineatus,NA,Sciaenidae,NA,135000,habitat_benthic,benthopelagic,41,NA,822.3303962,0.624615121,3.482533522,Actinopteri,NT,0.010283854,41.59549948,NA
Genypterus blacodes,NA,Ophidiidae,NA,2330000,habitat_benthic,bathydemersal,200,NA,209832.9261,0.130878043,4.183103005,Actinopteri,NA,0.180135388,56.68640933,NA
Genypterus capensis,NA,Ophidiidae,NA,127500,habitat_benthic,bathydemersal,180,NA,24613.76694,0.18214067,4.425967093,Actinopteri,NA,0.029150432,49.36957741,NA
Genypterus chilensis,NA,Ophidiidae,NA,125000,habitat_benthic,bathydemersal,150,NA,22836.35898,0.203416315,3.940238918,Actinopteri,NA,0.04808218,49.28743459,NA
Gerres nigri,NA,Gerreidae,NA,572500,habitat_benthic,benthopelagic,20,NA,1825.975119,1.495810086,3.258351287,Actinopteri,LC,9.84E-04,51.94826106,NA
Gerres oblongus,NA,Gerreidae,NA,9027500,habitat_reef,reef-associated,30,NA,14.31732558,1.495810086,3.547920007,Actinopteri,LC,9.54E-04,35.72425066,NA
Gerres oyena,NA,Gerreidae,NA,8420000,habitat_coastal,reef-associated,30,NA,563.1579604,1.594337758,2.819327745,Actinopteri,LC,0.00101033,36.669512,NA
Glossanodon semifasciatus,NA,Argentinidae,NA,532500,pelagic,benthopelagic,21,NA,67613.97225,0.518660964,3.211646655,Actinopteri,NA,0.001346522,36.50574414,NA
Glyptocephalus cynoglossus,NA,Pleuronectidae,NA,3570000,habitat_benthic,demersal,60,NA,64040.31605,0.149820154,3.17,Actinopteri,NA,0.097396206,62.06826834,NA
Glyptocephalus zachirus,NA,Pleuronectidae,NA,1320000,habitat_benthic,demersal,60,NA,23361.49095,0.186545885,3.25,Actinopteri,NA,0.079167308,58.77544029,NA
Gnathanodon speciosus,NA,Carangidae,NA,13205000,habitat_reef,reef-associated,120,NA,5597.438488,0.706049385,3.865511506,Actinopteri,LC,1.386235922,33.8977854,NA
Grammoplites suppositus,NA,Platycephalidae,NA,1385000,habitat_benthic,demersal,31,NA,144.2168111,0.42142105,3.84,Actinopteri,LC,9.65E-04,43.21965804,NA
Gymnosarda unicolor,NA,Scombridae,NA,12880000,pelagic,reef-associated,247.9799957,NA,2718.783662,0.596518223,4.482012652,Actinopteri,LC,5.482723418,41.03592716,NA
Haemulon plumierii,NA,Haemulidae,NA,2540000,habitat_reef,reef-associated,53,NA,431.5592646,0.578655171,3.82,Actinopteri,LC,0.048230487,26.61130503,22.6
Harpadon nehereus,NA,Synodontidae,NA,7832500,habitat_benthic,benthopelagic,40,NA,1686496.541,0.452219992,4.089693741,Actinopteri,NA,0.032421752,51.20201578,NA
Helicolenus dactylopterus,NA,Sebastidae,NA,11510000,habitat_benthic,bathydemersal,50,NA,118996.2652,0.149321292,3.54,Actinopteri,LC,0.673575357,57.44783432,NA
Hemiramphus balao,NA,Hemiramphidae,NA,2820000,pelagic,reef-associated,40,NA,65.16240182,0.889101666,3.85,Actinopteri,LC,0.029356452,37.8945997,NA
Hemiramphus brasiliensis,NA,Hemiramphidae,NA,2202500,habitat_coastal,reef-associated,55,NA,6751.508337,0.747224435,2.28,Actinopteri,LC,0.103646232,40.22049642,NA
Herklotsichthys quadrimaculatus,NA,Clupeidae,NA,9417500,habitat_coastal,reef-associated,25,NA,44.00455196,1.740456307,3.57,Actinopteri,LC,9.66E-04,33.65402706,NA
Hexagrammos decagrammus,NA,Hexagrammidae,NA,1112500,habitat_reef,demersal,61,NA,481.1467603,0.340852342,3.631988265,Actinopteri,NA,0.042795157,39.62274173,NA
Hilsa kelee,NA,Clupeidae,NA,6355000,habitat_coastal,pelagic-neritic,35,NA,59083.71456,1.080199315,2.940759788,Actinopteri,NA,0.003755579,40.4717982,NA
Hippoglossoides elassodon,NA,Pleuronectidae,NA,277500,habitat_benthic,demersal,52,NA,2483813.465,0.179774811,3.67,Actinopteri,NA,0.017539366,56.82021065,NA
Hippoglossoides platessoides,NA,Pleuronectidae,NA,4190000,habitat_benthic,demersal,82.59999847,NA,139541.673,0.145000355,4.08,Actinopteri,NA,0.080829519,55.71152256,NA
Hippoglossus hippoglossus,NA,Pleuronectidae,NA,5017500,habitat_benthic,demersal,470,NA,73314.44159,0.11850261,4,Actinopteri,EN,3.728203994,59.32174966,NA
Hoplopagrus guentherii,NA,Lutjanidae,NA,632500,habitat_reef,reef-associated,92,NA,273.0618526,0.502875077,3.8,Actinopteri,LC,0.054398037,29.07151497,21.5
Hoplostethus atlanticus,NA,Trachichthyidae,NA,9397500,sedentary,bathypelagic,75,NA,24191.11097,0.161165492,4.25,Actinopteri,NA,0.036925319,30.56520458,NA
Hydrolagus novaezealandiae,NA,Chimaeridae,NA,645000,deep,bathydemersal,96,NA,74948.21149,0.191783416,3.56660186,Holocephali,LC,0.094487139,56.03656827,NA
Hyperoglyphe antarctica,NA,Centrolophidae,NA,2662500,habitat_reef,benthopelagic,140,NA,13510.43523,0.180500329,3.968261697,Actinopteri,NA,0.2555104,36.61847434,NA
Hyporthodus flavolimbatus,NA,Serranidae,NA,2205000,habitat_benthic,demersal,115,NA,8566.79922,0.175094567,3.846829653,Actinopteri,VU,0.092328082,52.37878845,NA
Hyporthodus mystacinus,NA,Serranidae,NA,1890000,habitat_deep,bathydemersal,160,NA,30.08361961,0.192928912,4.58,Actinopteri,LC,0.061147269,35.19541513,NA
Hyporthodus nigritus,NA,Serranidae,NA,2572500,habitat_reef,demersal,230,NA,245.8566514,0.138991562,3.98694355,Actinopteri,NT,0.375871901,44.74152938,NA
Hyporthodus niveatus,NA,Serranidae,NA,2735000,habitat_reef,demersal,122,NA,4588.700079,0.165514413,4.052330035,Actinopteri,VU,0.056784227,39.1337546,NA
Ilisha africana,NA,Pristigasteridae,NA,425000,habitat_coastal,pelagic-neritic,30,NA,77979.82003,1.109770194,3.59,Actinopteri,LC,0.001200015,38.82053923,NA
Ilisha elongata,NA,Pristigasteridae,NA,2587500,habitat_coastal,pelagic-neritic,60,NA,596680.1311,0.97400234,3.818806874,Actinopteri,LC,0.121962344,44.05391664,NA
Isacia conceptionis,NA,Haemulidae,NA,300000,habitat_coastal,benthopelagic,60,NA,12174.16282,0.654886592,2.996805347,Actinopteri,LC,0.019158658,33.31690836,NA
Isopisthus parvipinnis,NA,Sciaenidae,NA,742500,habitat_coastal,demersal,41.5,NA,217.5803874,0.624615121,4.04,Actinopteri,LC,0.025131231,29.45455317,NA
Istiompax indica,NA,Istiophoridae,NA,171002500,hms,pelagic-oceanic,465,NA,40942.50606,0.361545431,4.5,Actinopteri,DD,92910.59843,37.97876546,NA
Istiophorus albicans,NA,Istiophoridae,NA,18742500,hms,pelagic-oceanic,315,NA,3939.569218,0.577528565,4.5,Actinopteri,NA,8.872319419,33.24648838,NA
Joturus pichardi,NA,Mugilidae,NA,587500,habitat_coastal,pelagic-neritic,61,NA,2036.175397,0.636414723,2.996805347,Actinopteri,NA,0.05161738,33.18566012,NA
Kajikia albida,NA,Istiophoridae,NA,48362500,hms,pelagic-oceanic,300,NA,12797.19646,0.387272323,4.49,Actinopteri,VU,9.774342408,36.59813433,NA
Kajikia audax,NA,Istiophoridae,NA,157757500,pelagic,pelagic-oceanic,420,NA,42349.00065,0.347408374,4.482012652,Actinopteri,NT,84515.14376,45.95007352,NA
Kathetostoma giganteum,NA,Uranoscopidae,NA,747500,sedentary,demersal,90,NA,4247.640989,0.286276548,4.211125785,Actinopteri,NA,0.023810645,33.48243406,NA
Katsuwonus pelamis,NA,Scombridae,NA,251292500,pelagic,pelagic-oceanic,110,NA,4403649.09,0.504382583,4.43,Actinopteri,LC,5411.185386,31.75806231,21.1
Konosirus punctatus,NA,Clupeidae,NA,495000,habitat_coastal,pelagic-neritic,32,NA,134189.8396,0.792958456,3.024828126,Actinopteri,LC,0.001393544,39.15151841,NA
Lactarius lactarius,NA,Lactariidae,NA,10862500,habitat_coastal,pelagic-neritic,40,NA,71361.18439,0.894172771,4.17,Actinopteri,NA,0.045204424,35.13228497,NA
Lampris guttatus,NA,Lampridae,NA,271130000,pelagic,bathypelagic,200,NA,2613.572655,0.605257327,4.220466711,Actinopteri,LC,5846.780899,43.09462738,NA
Larimichthys crocea,NA,Sciaenidae,NA,1287500,habitat_coastal,benthopelagic,80,NA,464679.6398,0.601331042,3.753420389,Actinopteri,NA,0.192269043,36.00077961,NA
Larimichthys polyactis,NA,Sciaenidae,NA,982500,habitat_coastal,benthopelagic,40,NA,3116786.623,0.546792217,3.72,Actinopteri,NA,0.049673506,36.33459921,NA
Larimus breviceps,NA,Sciaenidae,NA,1682500,habitat_coastal,demersal,31,NA,1092.689317,0.716833218,3.52,Actinopteri,LC,0.001198962,29.11448027,NA
Lateolabrax japonicus,NA,Lateolabracidae,NA,1177500,habitat_reef,reef-associated,102,NA,104691.8211,0.280379763,3.1,Actinopteri,NA,0.177936972,42.08585506,NA
Lates calcarifer,NA,Latidae,NA,8162500,habitat_coastal,demersal,200,NA,495833.8181,0.707443985,3.856170509,Actinopteri,NA,0.496355877,45.08464349,NA
Leiostomus xanthurus,NA,Sciaenidae,NA,980000,habitat_coastal,demersal,36,NA,17575.357,0.766431999,3.23,Actinopteri,LC,0.004437854,35.42562662,NA
Lepidocybium flavobrunneum,NA,Gempylidae,NA,14260000,migratory,benthopelagic,200,NA,2435.848754,0.41595686,4.332557829,Actinopteri,LC,1.878193571,45.73960913,NA
Lepidonotothen squamifrons,NA,Nototheniidae,NA,995000,habitat_benthic,benthopelagic,55,NA,171.421403,0.233506431,3.538579081,Actinopteri,NA,0.039894686,51.51209412,NA
Lepidopsetta bilineata,NA,Pleuronectidae,NA,2527500,habitat_benthic,demersal,58,NA,2016952.053,0.174289797,3.18,Actinopteri,NA,0.082573519,58.07836982,NA
Lepidopus caudatus,NA,Trichiuridae,NA,3607500,habitat_deep,benthopelagic,210,NA,223407.6131,0.292513559,3.82,Actinopteri,DD,0.498843021,48.26941255,NA
Lepidorhombus boscii,NA,Scophthalmidae,NA,1817500,habitat_benthic,demersal,40,NA,5157.681725,0.512571372,3.74,Actinopteri,NA,0.03347426,43.1782824,NA
Lepidorhombus whiffiagonis,NA,Scophthalmidae,NA,1412500,habitat_benthic,bathydemersal,60,NA,1993.643305,0.443300965,4.34,Actinopteri,NA,0.029265132,43.38751411,NA
Lepidorhynchus denticulatus,NA,Macrouridae,NA,1452500,habitat_deep,bathypelagic,55,NA,38250.58067,0.176141849,3.706715757,Actinopteri,NA,0.076070209,42.69375238,NA
Lethrinus atlanticus,NA,Lethrinidae,NA,447500,habitat_reef,reef-associated,50,NA,599.9491202,0.429583095,3.585283713,Actinopteri,LC,0.025099114,27.14498488,NA
Lethrinus borbonicus,NA,Lethrinidae,NA,2240000,habitat_reef,reef-associated,40,NA,1859.123649,0.636246008,3.519897255,Actinopteri,NA,0.038181698,27.8671327,NA
Lethrinus lentjan,NA,Lethrinidae,NA,11545000,habitat_reef,reef-associated,52,NA,52998.41671,0.428074524,3.94,Actinopteri,LC,0.967542259,33.73607983,NA
Lethrinus mahsena,NA,Lethrinidae,NA,2142500,habitat_reef,reef-associated,65,NA,3394.310692,0.322404193,3.482533584,Actinopteri,NA,0.080429536,40.96876632,NA
Lethrinus microdon,NA,Lethrinidae,NA,11337500,habitat_reef,reef-associated,80,NA,631.1027783,0.404758161,3.818806874,Actinopteri,LC,0.87353861,28.95898802,NA
Lethrinus obsoletus,NA,Lethrinidae,NA,8592500,habitat_reef,reef-associated,60,NA,988.3063252,0.456931205,3.89,Actinopteri,LC,0.073260627,24.49271924,19.85
Lethrinus xanthochilus,NA,Lethrinidae,NA,10410000,habitat_reef,reef-associated,70,NA,137.2629902,0.313354677,3.78,Actinopteri,LC,0.068041088,42.51721658,26.65
Lichia amia,NA,Carangidae,NA,4077500,habitat_coastal,pelagic-neritic,200,NA,6692.697819,0.934625792,4.5,Actinopteri,LC,0.220418521,42.6771808,NA
Limanda aspera,NA,Pleuronectidae,NA,2760000,habitat_benthic,demersal,49,NA,1106957.153,0.195797383,3.49,Actinopteri,NA,0.077082256,54.67687606,NA
Myzopsetta ferruginea,NA,Pleuronectidae,NA,1120000,habitat_benthic,demersal,64,NA,89150.52797,0.326508332,3.28,Actinopteri,NA,0.165802442,59.03199681,NA
Limanda limanda,NA,Pleuronectidae,NA,1395000,habitat_benthic,demersal,40,NA,97722.63055,0.461184433,3,Actinopteri,LC,0.0611067,49.54952272,NA
Lithognathus mormyrus,NA,Sparidae,NA,2035000,habitat_reef,demersal,55,NA,15943.68564,0.517022487,3.473192596,Actinopteri,LC,0.097338315,28.28336032,NA
Lophius americanus,NA,Lophiidae,NA,1295000,habitat_benthic,demersal,120,NA,81159.26438,0.342918037,4.51,Actinopteri,NA,0.131062969,52.19728118,NA
Lophius budegassa,NA,Lophiidae,NA,2537500,habitat_benthic,bathydemersal,100,NA,219.2480968,0.402594383,4.41,Actinopteri,DD,0.051666695,43.40314349,NA
Lophius gastrophysus,NA,Lophiidae,NA,3115000,habitat_benthic,bathydemersal,60,NA,26440.60164,0.424921798,4.49,Actinopteri,LC,0.06949573,52.03890758,NA
Lophius piscatorius,NA,Lophiidae,NA,3087500,habitat_benthic,bathydemersal,200,NA,106902.5645,0.394021904,4.45,Actinopteri,LC,0.243815196,50.65968218,NA
Lophius vomerinus,NA,Lophiidae,NA,360000,habitat_benthic,bathydemersal,100,NA,9136.97261,0.446457287,4.444648946,Actinopteri,NT,0.030133303,44.30804728,NA
Lutjanus argentimaculatus,NA,Lutjanidae,NA,13092500,habitat_reef,reef-associated,150,NA,81911.08825,0.345913558,3.58,Actinopteri,LC,3.670205075,40.33248567,NA
Lutjanus argentiventris,NA,Lutjanidae,NA,712500,habitat_reef,reef-associated,71,NA,14303.98733,0.312507548,4.05233,Actinopteri,LC,0.048597214,43.28234783,22.9
Lutjanus bohar,NA,Lutjanidae,NA,12705000,habitat_reef,reef-associated,90,NA,2388.102002,0.402942588,4.27,Actinopteri,LC,0.827736138,30.15185861,NA
