species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Plectropomus leopardus,0.0146275,Serranidae,39,8795000,habitat_reef,reef-associated,120,coral trout,148319.6519,0.262136996,4.42,Actinopteri,LC,0.113374613,28.98231432,25.2
Pollachius pollachius,0.009056,Gadidae,2,1365000,habitat_coastal,benthopelagic,130,pollack,77783.54454,0.437336923,4.32,Actinopteri,LC,0.140127783,33.66150827,NA
Pollachius virens,0.044516,Gadidae,2,1737500,migratory,demersal,130,saithe,890845.9368,0.292771348,4.31,Actinopteri,NA,0.083433333,61.7487087,NA
Prolatilus jugularis,6.45E-06,Pinguipedidae,136,295000,habitat_benthic,demersal,40,pacific sandperch,735.5556771,0.636895363,3.734738536,Actinopteri,NA,0.004505198,42.77102464,NA
Pseudocaranx dentex,1.02,Carangidae,7,4832500,habitat_coastal,reef-associated,122,white trevally,12157.54843,0.381904298,3.92,Actinopteri,LC,0.263774346,33.1704258,NA
Salmo trutta,71.3,Salmonidae,6,1677500,migratory,pelagic-neritic,140,sea trout,4797.810026,0.745858627,3.36,Actinopteri,LC,0.657870187,41.69909834,NA
Scorpaenichthys marmoratus,0.0033,Cottidae,27,410000,habitat_benthic,demersal,99,cabezon,642.5057606,0.3221761,3.660011018,Actinopteri,NA,0.024451703,48.97187193,NA
Sebastes melanops,0.25,Sebastidae,23,1035000,habitat_reef,reef-associated,63,black rockfish,27787.10688,0.085048452,4.38,Actinopteri,NA,0.034276515,45.04911932,NA
Sebastes mystinus,0.008783,Sebastidae,10,680000,habitat_reef,reef-associated,61,blue rockfish,5301.71384,0.103740039,2.71,Actinopteri,NA,0.031647309,52.7057187,NA
Serranus cabrilla,0.77,Serranidae,15,3617500,habitat_benthic,demersal,40,comber,740.2557183,0.511028812,3.35,Actinopteri,LC,0.03867428,42.27796105,NA
Sparisoma cretense,0.041983,Scaridae,12,1422500,habitat_coastal,reef-associated,50,parrotfish,2093.718353,0.485599221,2.950100715,Actinopteri,LC,0.067663122,32.06815213,NA
Sparus aurata,0.1674366,Sparidae,5,1810000,habitat_reef,demersal,70,gilthead seabream,52530.50873,0.379937307,3.7,Actinopteri,LC,0.208232439,44.77549028,52
Sphyraena barracuda,1.39,Sphyraenidae,32,16007500,habitat_coastal,reef-associated,200,great barracuda,48650.52905,0.282732218,4.49,Actinopteri,LC,2.532902425,43.37028066,NA
Thunnus albacares,58000,Scombridae,3,238802500,hms,pelagic-oceanic,239,yellowfin tuna,2632284.907,0.371683336,4.41,Actinopteri,NT,23919.47588,39.06578765,26.53
Thunnus orientalis,91382,Scombridae,12,137085000,hms,pelagic-oceanic,300,pacific bluefin tuna,180859.509,0.191806337,4.416666667,Actinopteri,VU,36732.24825,32.36656871,NA
Xyrichtys novacula,0.32,Labridae,6,4975000,habitat_coastal,reef-associated,38,pearly razorfish,179.8277477,0.651045245,3.51,Actinopteri,LC,0.030708389,28.52060413,39
Boreogadus saida,0.218337659,Gadidae,77,4780000,migratory,demersal,40,artic cod,272362.6872,0.37076155,3.12,Actinopteri,NA,0.094809524,41.14519734,NA
Caranx ignobilis,16.43545901,Carangidae,14,13842500,habitat_reef,reef-associated,170,giant trevally,47191.5377,0.422004473,4.22,Actinopteri,LC,3.847786949,34.45279653,NA
Cheilinus undulatus,0.005807929,Labridae,20,7215000,habitat_reef,reef-associated,229,humphead wrasse,5398.268449,0.377461777,4.005625403,Actinopteri,EN,0.946143441,39.90905178,34.3
Diplodus sargus,0.253218308,Sparidae,2,2037500,habitat_reef,demersal,45,white seabream,9479,0.54,3.38,Actinopteri,LC,0.063723942,30.31937879,NA
Diplodus vulgaris,0.284249658,Sparidae,3,1907500,habitat_reef,benthopelagic,45,two-banded seabream,1123.212743,0.582831707,3.52,Actinopteri,LC,0.060874062,28.18450401,NA
Gadus morhua,0.202391526,Gadidae,9,4322500,migratory,benthopelagic,200,atlantic cod,1024823.823,0.368813682,4.09,Actinopteri,VU,0.373007352,84.57648848,120.25
